City,Country,Logo/Name,Metro,Underground,U-Bahn,Subway,Rail Transit,MRT,Other
Algiers,Algeria,Algiers Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Buenos Aires,Argentina,Buenos Aires Underground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Yerevan,Armenia,Yerevan Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sydney,Australia,Sydney Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vienna,Austria,Vienna U-Bahn,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baku,Azerbaijan,Baku Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dhaka,Bangladesh,Dhaka Metro Rail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Minsk,Belarus,Minsk Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Brussels,Belgium,Brussels Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Charleroi,Belgium,Charleroi Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Antwerp,Belgium,Antwerp Premetro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Belo Horizonte,Brazil,Belo Horizonte Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Brasilia,Brazil,Federal District Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crato-Juazeiro,Brazil,Cariri Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fortaleza,Brazil,Fortaleza Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Porto Alegre,Brazil,Porto Alegre Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Recife,Brazil,Recife Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rio de Janeiro,Brazil,Rio de Janeiro Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Salvador,Brazil,Salvador Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Saõ Paulo,Brazil,Sao Paulo Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sobral,Brazil,Sobral Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Teresina,Brazil,Teresina Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sofia,Bulgaria,Sofia Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Calgary,Canada,CTrain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ottawa,Canada,O-Train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Vancouver,Canada,SkyTrain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Montréal,Canada,Montreal Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Toronto,Canada,Toronto Subway,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Concepcion,Chile,Biotren,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Santiago,Chile,Santiago Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valparaiso,Chile,Valparaiso Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Changsha,China,Changsha Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Changzhou,China,Changzhou Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chengdu,China,Chengdu Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dalian,China,Dalian Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Foshan,China,FMetro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fuzhou,China,Fuzhou Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Guangzhou,China,Guangzhou Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Guiyang,China,Guiyang Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hangzhou,China,Hangzhou Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Harbin,China,Harbin Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hefei,China,Hefei Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hohhot,China,Hohhot Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jinan,China,Jinan Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jinhua,China,Jinhua Metro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
