Italy, 380, 24567
Afghanistan, 004, 75
Albania, 008, 334
Algeria, 012, 4560
Angola, 024, 2761
Azerbaijan, 031, 2944
Argentina, 032, 17866
Australia, 036, 32924
Austria, 040, 4859
Bangladesh, 050, 4458
Armenia, 051, 703
Belgium, 056, 3607
Bolivia, 068, 1954
Bosnia and Herzegovina, 070, 1018
Botswana, 072, 888
Brazil, 076, 29817
Brunei, 096, 13
Bulgaria, 100, 4029
Myanmar, 104, 11025
Belarus, 112, 5459
Cambodia, 116, 650
Cameroon, 120, 977
Canada, 124, 49422
Sri Lanka, 144, 1561
Chile, 152, 6634
China, 156, 159000
Taiwan, 158, 1782
Colombia, 170, 1663
Congo, 178, 795
DR Congo, 180, 4096
Costa Rica, 188, 278
Croatia, 191, 2604
Cuba, 192, 8193
Czech Republic, 203, 9567
Benin, 204, 758
Denmark, 208, 2610
Dominican Republic, 214, 517
Ecuador, 218, 966
El Salvador, 222, 562
Ethiopia, 231, 2185
Eritrea, 232, 306
Estonia, 233, 1161
Fiji, 242, 597
Finland, 246, 5926
France, 250, 27483
Djibouti, 262, 93
Gabon, 266, 810
Georgia, 268, 1576
Germany, 276, 33351
Ghana, 288, 953
Greece, 300, 2240
Guatemala, 320, 1
Guinea, 324, 837
Guyana, 328, 127
Vatican City, 336, 0
Honduras, 340, 67
Hong Kong, 344, 268
Hungary, 348, 7945
India, 356, 69800
Indonesia, 360, 8260
Iran, 364, 16998
Iraq, 368, 2032
Ireland, 372, 2400
Israel, 376, 1511
Ivory Coast, 384, 639
Jamaica, 388, 65
Japan, 392, 27311
Kazakhstan, 398, 15530
Kenya, 404, 2541
North Korea, 408, 5735
South Korea, 410, 4837
Kyrgyzstan, 417, 417
Laos, 418, 424
Lesotho, 426, 1
Latvia, 428, 1860
Liberia, 430, 490
Liechtenstein, 438, 9
Lithuania, 440, 1910
Luxembourg, 442, 275
Macau, 446, 13
Madagascar, 450, 848
Malawi, 454, 797
Malaysia, 458, 2041
Mali, 466, 729
Mauritania, 478, 728
Mauritius, 480, 30
Mexico, 484, 23389
Monaco, 492, 1
Mongolia, 496, 1810
Moldova, 498, 1151
Montenegro, 499, 250
Morocco, 504, 2109
Mozambique, 508, 3249
Namibia, 516, 2382
Nauru, 520, 3
Nepal, 524, 57
Netherlands, 528, 3055
New Zealand, 554, 4128
Niger, 562, 143
Nigeria, 566, 3600
Norway, 578, 4240
Pakistan, 586, 7791
Panama, 591, 355
Paraguay, 600, 38
Peru, 604, 2020
Philippines, 608, 532
Poland, 616, 19576
Portugal, 620, 2527
Puerto Rico, 630, 17
Qatar, 634, 82
Romania, 642, 20077
Russia, 643, 105000
Saint Kitts and Nevis, 659, 58
Saudi Arabia, 682, 5590
Senegal, 686, 906
Serbia, 688, 3764
Sierra Leone, 694, 84
Singapore, 702, 281
Slovakia, 703, 3626
Vietnam, 704, 3315
Slovenia, 705, 1209
South Africa, 710, 20953
Zimbabwe, 716, 3136
Spain, 724, 16355
South Sudan, 728, 248
Sudan, 729, 6084
Suriname, 740, 166
Eswatini, 748, 301
Sweden, 752, 10912
Switzerland, 756, 5317
Syria, 760, 2750
Tajikistan, 762, 616
Thailand, 764, 4845
Togo, 768, 568
United Arab Emirates, 784, 900
Tunisia, 788, 2165
Turkey, 792, 13919
Turkmenistan, 795, 5080
Uganda, 800, 1244
Ukraine, 804, 19787
North Macedonia, 807, 683
Egypt, 818, 7024
United Kingdom, 826, 16179
Tanzania, 834, 2600
United States, 840, 220044
Burkina Faso, 854, 622
Uruguay, 858, 1791
Uzbekistan, 860, 4669
Venezuela, 862, 336
Zambia, 894, 1237
