country,country_ISO,value
Italy,ITA,0.083080825161
Afghanistan,AFG,0.000114995400
Albania,ALB,0.012189781022
Algeria,DZA,0.001900000000
Angola,AGO,0.002300833333
Azerbaijan,AZE,0.035641646489
Argentina,ARG,0.006617037037
Australia,AUS,0.004275844156
Austria,AUT,0.058896969697
Bangladesh,BGD,0.034239631336
Armenia,ARM,0.024666666667
Belgium,BEL,0.119042904290
Bolivia,BOL,0.001776363636
Bosnia and Herzegovina,BIH,0.019882812500
Botswana,BWA,0.001566966649
Brazil,BRA,0.003549642857
Brunei,BRN,0.002452830189
Bulgaria,BGR,0.037099447514
Myanmar,MMR,0.016891374291
Belarus,BLR,0.026891625616
Cambodia,KHM,0.003682719547
Cameroon,CMR,0.002066850011
Canada,CAN,0.005491333333
Sri Lanka,LKA,0.025218093700
Chile,CHL,0.008922663080
China,CHN,0.016914893617
Taiwan,TWN,0.049226519337
Colombia,COL,0.001511818182
Congo,COG,0.002327964861
DR Congo,COD,0.001780869565
Costa Rica,CRI,0.005440313112
Croatia,HRV,0.046500000000
Cuba,CUB,0.078930635838
Czech Republic,CZE,0.123924870466
Benin,BEN,0.006719858156
Denmark,DNK,0.065250000000
Dominican Republic,DOM,0.010703933747
Ecuador,ECU,0.003888888889
El Salvador,SLV,0.027149758454
Ethiopia,ETH,0.001986363636
Eritrea,ERI,0.002528925620
Estonia,EST,0.027126168224
Fiji,FJI,0.032622950820
Finland,FIN,0.019499835472
France,FRA,0.050188093499
Djibouti,DJI,0.004008620690
Gabon,GAB,0.003143189756
Georgia,GEO,0.022676258993
Germany,DEU,0.095452203778
Ghana,GHA,0.004189010989
Greece,GRC,0.017377812258
Guatemala,GTM,0.000009328358
Guinea,GIN,0.003406593407
Guyana,GUY,0.000645325203
Vatican City,VAT,0.000000000000
Honduras,HND,0.000598748883
Hong Kong,HKG,0.243636363636
Hungary,HUN,0.087020810515
India,IND,0.023266666667
Indonesia,IDN,0.004347368421
Iran,IRN,0.010623750000
Iraq,IRQ,0.004680949090
Ireland,IRL,0.034833091437
Israel,ISR,0.069953703704
Ivory Coast,CIV,0.002009433962
Jamaica,JAM,0.006018518519
Japan,JPN,0.074927297668
Kazakhstan,KAZ,0.005751851852
Kenya,KEN,0.004464944649
North Korea,PRK,0.047632890365
South Korea,KOR,0.049559426230
Kyrgyzstan,KGZ,0.002174139729
Laos,LAO,0.001837088388
Lesotho,LSO,0.000032894737
Latvia,LVA,0.029903536977
Liberia,LBR,0.005088265836
Liechtenstein,LIE,0.056250000000
Lithuania,LTU,0.030511182109
Luxembourg,LUX,0.105769230769
Macau,MAC,0.393939393939
Madagascar,MDG,0.001457545548
Malawi,MWI,0.008451749735
Malaysia,MYS,0.006211199026
Mali,MLI,0.000607500000
Mauritania,MRT,0.000728000000
Mauritius,MUS,0.015000000000
Mexico,MEX,0.012310000000
Monaco,MCO,0.500000000000
Mongolia,MNG,0.001131250000
Moldova,MDA,0.034984802432
Montenegro,MNE,0.018656716418
Morocco,MAR,0.004725520950
Mozambique,MOZ,0.004131485249
Namibia,NAM,0.002893234544
Nauru,NRU,0.150000000000
Nepal,NPL,0.000397766923
Netherlands,NLD,0.090652818991
New Zealand,NZL,0.015677933916
Niger,NER,0.000110000000
Nigeria,NGA,0.003952569170
Norway,NOR,0.011638759264
Pakistan,PAK,0.010106369179
Panama,PAN,0.004784366577
Paraguay,PRY,0.000095645608
Peru,PER,0.001553846154
Philippines,PHL,0.001784037559
Poland,POL,0.063952956550
Portugal,PRT,0.027587336245
Puerto Rico,PRI,0.001910112360
Qatar,QAT,0.007130434783
Romania,ROU,0.087253368101
Russia,RUS,0.006402439024
Saint Kitts and Nevis,KNA,0.223076923077
Saudi Arabia,SAU,0.002661904762
Senegal,SEN,0.004706493506
Serbia,SRB,0.043017142857
Sierra Leone,SLE,0.001163434903
Singapore,SGP,0.391364902507
Slovakia,SVK,0.074000000000
Vietnam,VNM,0.010577536694
Slovenia,SVN,0.060149253731
South Africa,ZAF,0.017460833333
Zimbabwe,ZWE,0.008105453606
Spain,ESP,0.032736188951
South Sudan,SSD,0.000392467163
Sudan,SDN,0.003202105263
Suriname,SUR,0.001064102564
Eswatini,SWZ,0.017500000000
Sweden,SWE,0.026791063098
Switzerland,CHE,0.134607594937
Syria,SYR,0.014978213508
Tajikistan,TJK,0.004438040346
Thailand,THA,0.009483264827
Togo,TGO,0.010441176471
United Arab Emirates,ARE,0.012676056338
Tunisia,TUN,0.013931788932
Turkey,TUR,0.017762889229
Turkmenistan,TKM,0.010810810811
Uganda,UGA,0.006204488778
Ukraine,UKR,0.034150845702
North Macedonia,MKD,0.027103174603
Egypt,EGY,0.007024000000
United Kingdom,GBR,0.066883009508
Tanzania,TZA,0.002935199819
United States,USA,0.024180659341
Burkina Faso,BFA,0.002273391813
Uruguay,URY,0.010234285714
Uzbekistan,UZB,0.010596913300
Venezuela,VEN,0.000380952381
Zambia,ZMB,0.001663976325
