country,country_ISO,value
Italy,ITA,0.418533972958
Afghanistan,AFG,0.001729188354
Albania,ALB,0.118187415517
Algeria,DZA,0.098533342008
Angola,AGO,0.073033374692
Azerbaijan,AZE,0.281375036988
Argentina,ARG,0.387903338813
Australia,AUS,1.233132537927
Austria,AUT,0.541263758977
Bangladesh,BGD,0.025517854023
Armenia,ARM,0.253061668213
Belgium,BEL,0.307875518937
Bolivia,BOL,0.155482434782
Bosnia and Herzegovina,BIH,0.318684889515
Botswana,BWA,0.326507320309
Brazil,BRA,0.137003171841
Brunei,BRN,0.028517652427
Bulgaria,BGR,0.608737628643
Myanmar,MMR,0.200583305349
Belarus,BLR,0.577364213382
Cambodia,KHM,0.037963194041
Cameroon,CMR,0.033237586178
Canada,CAN,1.263762034085
Sri Lanka,LKA,0.071118544819
Chile,CHL,0.337456347244
China,CHN,0.111564950312
Taiwan,TWN,0.074404345615
Colombia,COL,0.031772552695
Congo,COG,0.127311076368
DR Congo,COD,0.038778656371
Costa Rica,CRI,0.052985544857
Croatia,HRV,0.653183756594
Cuba,CUB,0.733181458966
Czech Republic,CZE,0.910818952574
Benin,BEN,0.053834951980
Denmark,DNK,0.439416502026
Dominican Republic,DOM,0.045216002617
Ecuador,ECU,0.052564657385
El Salvador,SLV,0.087863447071
Ethiopia,ETH,0.016844008119
Eritrea,ERI,0.080154000457
Estonia,EST,0.880184922228
Fiji,FJI,0.633037562349
Finland,FIN,1.067769680314
France,FRA,0.423585462987
Djibouti,DJI,0.080706117784
Gabon,GAB,0.326013852771
Georgia,GEO,0.423949373558
Germany,DEU,0.400600707674
Ghana,GHA,0.027402757448
Greece,GRC,0.217418312834
Guatemala,GTM,0.000054470889
Guinea,GIN,0.057609832078
Guyana,GUY,0.154954770289
Vatican City,VAT,0.000000000000
Honduras,HND,0.006227109563
Hong Kong,HKG,0.035749153525
Hungary,HUN,0.794898005431
India,IND,0.048414398888
Indonesia,IDN,0.029521292338
Iran,IRN,0.189266690228
Iraq,IRQ,0.043676704091
Ireland,IRL,0.471561130631
Israel,ISR,0.162269809911
Ivory Coast,CIV,0.021585429896
Jamaica,JAM,0.023010983674
Japan,JPN,0.222707992189
Kazakhstan,KAZ,0.783229310428
Kenya,KEN,0.045211085594
North Korea,PRK,0.218521293271
South Korea,KOR,0.093483117368
Kyrgyzstan,KGZ,0.060968424205
Laos,LAO,0.054803862276
Lesotho,LSO,0.000424433265
Latvia,LVA,1.027488067881
Liberia,LBR,0.088496390341
Liechtenstein,LIE,0.226005725478
Lithuania,LTU,0.709299397875
Luxembourg,LUX,0.415662778078
Macau,MAC,0.018230722413
Madagascar,MDG,0.027304976300
Malawi,MWI,0.037111259556
Malaysia,MYS,0.058866121970
Mali,MLI,0.030355030185
Mauritania,MRT,0.145777206773
Mauritius,MUS,0.023041863995
Mexico,MEX,0.180765724661
Monaco,MCO,0.027657161822
Mongolia,MNG,0.518085921545
Moldova,MDA,0.345659658875
Montenegro,MNE,0.399295961361
Morocco,MAR,0.055192867668
Mozambique,MOZ,0.093205649530
Namibia,NAM,0.900293105501
Nauru,NRU,0.232846941943
Nepal,NPL,0.001824565469
Netherlands,NLD,0.172880900339
New Zealand,NZL,0.783310774565
Niger,NER,0.005063923715
Nigeria,NGA,0.015710081478
Norway,NOR,0.768885245147
Pakistan,PAK,0.031772790172
Panama,PAN,0.078401735351
Paraguay,PRY,0.005469774458
Peru,PER,0.058241044344
Philippines,PHL,0.004466601174
Poland,POL,0.486702137049
Portugal,PRT,0.247179275597
Puerto Rico,PRI,0.005200682085
Qatar,QAT,0.029959142306
Romania,ROU,1.023344925500
Russia,RUS,0.729384068706
Saint Kitts and Nevis,KNA,1.212197211946
Saudi Arabia,SAU,0.149170373888
Senegal,SEN,0.049721300040
Serbia,SRB,0.530362850478
Sierra Leone,SLE,0.009356233234
Singapore,SGP,0.046425493114
Slovakia,SVK,0.635824446521
Vietnam,VNM,0.033317359762
Slovenia,SVN,0.570561571333
South Africa,ZAF,0.343377976294
Zimbabwe,ZWE,0.184250344045
Spain,ESP,0.344508910290
South Sudan,SSD,0.021991485039
Sudan,SDN,0.123262123592
Suriname,SUR,0.264001208680
Eswatini,SWZ,0.246302395516
Sweden,SWE,1.022328873043
Switzerland,CHE,0.600693831314
Syria,SYR,0.112945375961
Tajikistan,TJK,0.059623406562
Thailand,THA,0.067398569222
Togo,TGO,0.061333370191
United Arab Emirates,ARE,0.093829628123
Tunisia,TUN,0.172308283954
Turkey,TUR,0.161360221572
Turkmenistan,TKM,0.769921996899
Uganda,UGA,0.024917749394
Ukraine,UKR,0.521563955927
North Macedonia,MKD,0.327938748916
Egypt,EGY,0.061353416538
United Kingdom,GBR,0.238061468946
Tanzania,TZA,0.037453683658
United States,USA,0.643752829386
Burkina Faso,BFA,0.026090333712
Uruguay,URY,0.523176943058
Uzbekistan,UZB,0.130880351308
Venezuela,VEN,0.011430385516
Zambia,ZMB,0.058529351855
